ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10300,0,0,0,0,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,0,0
10304,0,0,0,0,0,0,0,0,0,0
10305,2,2,2,2,2,2,2,2,2,2
10306,0,0,0,0,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,0,0,0
10308,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,10
10312,0,0,0,0,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,0,0
10316,7,5,16,0,18,0,12,19,24,28
10317,0,13,0,0,0,0,0,0,0,0
10318,0,0,0,0,0,0,0,0,0,0
10319,13,13,13,13,13,13,13,13,13,13
10320,0,0,0,0,0,0,0,0,0,0
10321,5,5,5,5,5,5,5,5,5,5
10322,32,32,32,32,32,32,32,32,32,32
10323,34,34,34,34,34,34,34,34,34,34
10324,0,0,0,37,0,0,0,0,0,0
10325,0,0,20,10,0,0,0,0,25,0
10326,0,0,0,0,0,0,0,21,0,0
10327,0,0,0,0,0,0,0,0,0,0
10328,9,18,5,0,0,20,0,0,21,24
10329,0,0,0,0,0,0,0,0,0,0
10330,0,0,0,0,0,0,0,0,0,0
10331,0,0,0,0,0,0,0,0,0,0
10332,13,13,13,13,13,13,13,13,13,13
10333,0,0,0,0,0,0,0,0,0,0
10334,0,14,0,0,27,0,0,20,0,0
10335,0,0,0,0,0,0,0,0,0,0
10336,12,12,12,12,12,12,12,12,12,12
10337,0,10,0,0,0,0,0,0,0,0
10338,0,15,10,0,0,27,0,0,0,0
10339,24,0,0,14,0,0,17,0,0,0
10340,0,0,0,0,0,0,0,0,0,0
10341,0,0,0,0,0,0,0,0,0,0
10342,0,0,0,0,0,0,0,0,0,0
10343,0,0,0,0,0,0,0,0,0,0
10344,27,27,27,27,27,27,27,27,27,27
10345,0,0,0,22,0,0,0,0,0,0
10346,14,14,14,14,14,14,14,14,14,14
10347,0,0,0,7,0,0,0,0,0,0
10348,0,0,0,0,0,0,0,0,0,0
10349,0,0,0,0,0,0,0,0,0,0
10350,21,21,21,21,21,21,21,21,21,21
10351,2,2,2,2,2,2,2,2,2,2
10352,0,12,0,0,0,0,0,0,0,0
10353,0,0,0,0,0,0,0,0,0,0
10354,14,14,14,14,14,14,14,14,14,14
10355,0,0,0,0,0,0,0,0,0,0
10356,1,1,1,1,1,1,1,1,1,1
10357,0,0,0,10,0,0,0,13,0,16
10358,0,0,0,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,0,0
10360,6,6,6,6,6,6,6,6,6,6
10361,17,17,17,17,17,17,17,17,17,17
10362,16,16,16,16,16,16,16,16,16,16
10363,0,0,0,0,0,0,0,0,0,0
10364,0,0,0,0,0,0,0,0,0,0
10365,7,7,7,7,7,7,7,7,7,7
10366,29,0,0,0,16,0,0,0,0,0
10367,21,21,21,21,21,21,21,21,21,21
10368,0,0,0,0,0,0,0,0,24,0
10369,26,26,26,26,26,26,26,26,26,26
10370,0,0,0,0,0,0,0,0,0,0
10371,10,10,10,10,10,10,10,10,10,10
10372,0,0,0,0,0,0,0,0,0,13
10373,0,0,9,0,0,0,0,0,0,0
10374,0,0,0,0,0,0,0,0,17,0
10375,0,19,0,0,0,0,0,0,0,0
10376,0,0,0,0,0,0,0,0,0,0
10377,0,0,0,0,7,0,26,0,0,0
10378,0,0,0,0,0,0,0,0,0,0
10379,0,0,0,0,0,0,0,0,0,0
10380,0,0,0,0,0,27,0,0,35,18
10381,0,0,0,0,0,0,0,0,0,0
10382,18,18,18,18,18,18,18,18,18,18
10383,20,20,20,20,20,20,20,20,20,20
10384,0,0,0,0,0,0,0,0,0,0
10385,0,0,0,0,0,11,0,0,0,0
10386,0,10,0,0,0,0,0,0,0,0
10387,0,0,0,0,0,0,0,0,0,0
10388,16,26,6,0,0,0,19,22,16,3
10389,0,0,0,0,0,0,0,0,0,0
10390,0,0,0,0,0,0,0,0,0,0
10391,0,35,10,0,0,18,0,0,0,31
10392,0,0,0,0,0,0,5,0,0,0
10393,0,0,0,0,0,0,0,0,0,0
10394,17,0,0,0,22,0,0,0,0,22
10395,0,0,0,0,0,0,0,0,0,0
10396,0,0,0,0,0,0,0,0,0,0
10397,0,0,0,0,0,0,20,0,0,0
10398,42,0,14,0,0,5,28,12,18,5
10400,1,1,1,1,1,1,1,1,1,1
10401,0,0,0,0,0,24,0,0,0,0
10402,0,0,0,0,0,0,0,14,0,0
10403,0,0,0,0,0,17,0,0,0,0
10404,17,17,17,17,17,17,17,17,17,17
10405,0,2,0,8,0,0,0,0,19,0
10406,0,0,0,0,0,0,0,0,0,0
10407,0,0,20,0,0,0,0,0,0,0
10408,0,5,0,0,8,20,8,0,0,0
10409,7,21,10,12,35,10,0,6,15,2
10410,0,19,0,0,0,0,0,0,0,0
10411,0,0,0,0,0,0,0,0,0,0
10412,0,0,0,0,0,0,0,0,0,0
10413,0,0,0,0,0,0,0,0,0,0
10414,20,20,20,20,20,20,20,20,20,20
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,0,0
10418,4,4,4,4,4,4,4,4,4,4
10419,9,9,9,9,9,9,9,9,9,9
10420,0,0,0,0,0,0,0,0,0,0
10421,0,0,0,0,0,0,0,0,0,0
10422,0,32,0,0,0,12,0,0,38,0
10423,0,0,19,0,0,0,0,0,0,0
10424,0,0,0,18,0,10,0,0,0,33
10425,0,17,0,6,4,0,0,0,0,0
10426,0,0,20,0,0,0,0,0,0,0
10427,0,0,0,0,0,0,0,11,0,0
10428,0,0,0,0,0,0,0,0,0,0
10429,0,0,0,0,0,0,0,0,0,0
