ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10210,0,0,0,0,0,0,0,0,0,23
10211,0,0,0,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,14,0,0,0,0,0,0,0,0,0
10214,0,5,0,0,7,0,12,31,0,0
10215,0,0,18,0,0,0,0,0,0,0
10216,14,14,14,14,14,14,14,14,14,14
10217,0,0,0,0,0,0,0,0,0,0
10218,0,0,0,29,7,0,0,0,0,0
10219,0,0,0,0,0,0,0,0,0,0
10220,1,1,1,1,1,1,1,1,1,1
10221,0,0,0,0,0,0,0,0,0,0
10222,0,18,0,0,0,0,10,0,0,15
10223,0,0,30,0,0,0,0,0,0,0
10224,25,25,25,25,25,25,25,25,25,25
10225,0,0,0,0,0,0,5,0,0,0
10226,8,0,23,22,5,0,11,0,28,0
10227,14,13,0,0,0,0,0,0,0,0
10228,3,3,3,4,3,3,3,3,3,3
10229,32,6,13,25,6,42,16,6,29,8
10230,0,5,0,17,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,0
10232,19,19,19,19,19,19,19,19,19,19
10233,0,0,0,3,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10236,10,10,10,10,10,10,10,10,10,10
10237,0,0,0,0,0,0,0,0,0,0
10238,0,0,59,25,21,0,0,15,4,0
10239,0,0,0,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,0,0,20,26,0,7,6,0,0,0
10243,0,0,0,0,0,0,0,0,0,0
10245,0,0,0,0,0,0,0,0,0,0
10246,16,15,14,6,17,3,16,0,14,14
10247,0,0,0,0,0,0,0,0,0,0
10248,0,4,0,14,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,0,0
10251,0,12,0,0,0,0,0,14,21,0
10252,0,0,0,0,0,0,0,0,0,0
10253,0,0,0,0,0,0,0,0,0,0
10254,0,0,0,0,0,0,0,0,0,0
10255,30,12,0,0,36,6,0,0,23,3
10256,16,16,16,16,16,16,16,16,16,16
10257,22,16,19,9,21,21,11,8,15,15
10258,21,21,21,21,21,21,21,21,21,21
10259,17,26,18,12,32,7,10,10,27,20
10260,0,0,0,0,0,0,0,0,0,0
10261,1,1,1,1,1,1,1,1,1,1
10262,0,0,0,22,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,0,0
10264,0,0,0,0,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,7,0
10266,0,0,0,0,0,0,0,0,0,0
10267,18,0,0,0,0,24,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,0,0,0,0,0,0,0,4,0
10270,22,16,40,18,22,37,33,20,19,25
10271,0,0,0,0,0,0,0,0,0,0
10272,29,29,29,29,29,29,29,29,29,29
10273,0,25,0,0,0,0,0,0,0,0
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,16,16,16,16,16,16,16,16,16,16
10277,0,0,0,0,0,0,0,0,0,0
10278,16,16,16,16,16,16,16,16,16,16
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,33,0,0,0,0,0,5
10281,14,16,24,22,9,17,20,3,22,17
10282,21,25,0,19,8,11,7,15,12,18
10283,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,0,0,0,0,0,0,0,0,0,0
10287,0,0,0,0,0,0,0,0,0,17
10288,0,0,0,0,0,0,0,0,0,0
10289,0,0,0,0,0,0,0,0,0,36
10290,24,24,24,24,24,24,24,24,24,24
10291,0,0,0,0,0,0,0,0,0,0
10292,0,7,0,0,7,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,2,2,2,2,2,2,2,2,2,2
10295,0,0,0,0,0,0,0,0,0,0
10296,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,0,0,0,0,0,0,0,0,0,0
10300,22,22,22,22,22,22,22,22,22,22
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,33,18,0,0,0,0,0,0
10303,0,0,12,7,0,14,16,17,17,0
10304,0,0,0,0,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,0,0
10306,0,0,0,0,0,0,0,0,0,0
10307,12,0,4,0,0,0,0,0,0,0
10308,0,0,0,0,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
